-0.04,0.05,-0.01,-0.07,-0.08,-0.01,0.01,-0.01,0.03,-0.1,-0.16,-0.16,-0.04,0.05,0.02,0.01,0.06,-0.06,0.03,-0.04,-0.06,0.02,-0.13,-0.17,-0.05,0.08,-0.05,0.02,-0.06,0.08,-0.04,0.03,-0.03,0.01,0.04,0.03,-0.01,0,0.13,-0.07,-0.13,-0.03,-0.09,0.03,-0.01,0,0.01,0.06,0,0.21,0.27,0.24,0.16,0.1,-0.03,-0.12,-0.15,0.24,0.19,0.35,0.02,0.02,-0.03,-0.03,0.14,0.17,-0.81,-0.2,0.37,0.42,0.28,0.28,0.33,0.39,0.24,0.03,0,-0.03,-0.04,0.07
0.01,0.06,0.01,0,0.07,-0.02,-0.03,0,0.03,0.09,-0.03,0.03,-0.07,0,0.04,-0.05,0,0.03,-0.04,0.01,0.05,0,0.1,-0.18,-0.19,0.13,-0.02,0.05,0.05,0.07,-0.06,-0.04,-0.01,0.01,0.05,-0.01,0.01,-0.11,0.01,-0.16,-0.09,-0.09,0.03,-0.14,0,-0.13,0.03,0.09,0.05,0.2,0.17,0.23,0.08,0.03,0.12,-0.14,-0.06,0.35,-2.42,-2.19,0.12,-0.02,-0.05,-0.04,0.16,0.2,-0.82,-0.18,0.29,0.42,0.37,0.38,0.33,0.23,0.23,-0.07,0.01,0.01,0.09,0.07
0.16,0.06,0.13,0.07,0.08,-0.01,0,0.01,-0.04,0.04,-0.05,-0.01,-0.03,0,0.01,0.06,0.04,-0.04,-0.07,0.05,-0.04,-0.05,0.02,-0.06,0.04,0.05,-0.1,-0.01,-0.05,0.07,-0.04,-0.01,0,0.01,0.05,-0.06,0.02,0.06,0.13,-0.13,-0.04,0.03,-0.11,0.05,-0.09,-0.01,0.05,0.01,-0.1,0.29,0.12,0.32,0.1,0.05,0.06,0.04,-0.33,0.29,-2.29,0.38,0,-0.06,0.1,-0.02,0.18,0.14,-0.74,-0.15,0.37,0.37,0.36,0.18,0.36,0.24,0.25,-0.12,0.03,-0.07,0.1,0.04
0.19,0.04,0.01,0.06,0.04,0.03,0.02,-0.01,0.01,-0.02,0.07,-0.2,0.03,0,0.07,-0.01,0.02,-0.07,-0.1,-0.03,-0.17,-0.01,-0.01,0.02,0.05,0.09,0.04,0.02,-0.07,0.04,-0.01,0.02,0.09,-0.1,-0.01,-0.12,-0.12,0.04,0.14,0.05,-0.06,-0.04,0.06,-0.03,0.06,0.02,-0.08,0.02,-0.04,0.32,0.25,0.21,0.1,0.07,0.05,-0.04,-0.1,0.17,0.34,0.38,0.13,0.03,0.02,0.06,0.21,0.08,-0.66,-0.19,0.39,0.37,0.28,0.35,0.32,0.34,0.25,0.06,0.04,0.06,0.01,0.07
-0.06,0,0.01,0.08,0.04,0,0.02,0.02,0.02,-0.03,-0.01,0.02,-0.02,-0.06,0.04,-0.05,0.04,0,0.01,0.02,0.02,0.06,0,-0.07,0.07,0,0.02,-0.08,-0.12,-0.05,-0.11,-0.08,0.11,0.02,-0.01,0.03,-0.05,-0.12,0.02,0.01,0,0.02,0.03,0.11,-0.04,-0.04,0.08,-0.04,0.04,0.21,0.23,0.27,0,-0.03,-0.02,-0.12,-0.15,0.26,0.32,-2.61,0.11,0.06,-0.08,0.01,0.13,0.26,-0.78,-0.15,0.06,0.4,0.35,0.34,0.37,0.31,0.37,0.05,-0.1,-0.02,0,0.03
0.14,-0.37,0.03,-0.06,0.17,-0.01,0.04,-0.04,0.01,-0.14,-0.08,0.1,0.06,-0.01,-0.01,-0.14,0.01,-0.01,-0.05,-0.03,-0.07,-0.05,-0.02,0.01,0.07,0.1,0.07,-0.01,0.01,0.03,-0.1,0.01,-0.15,-0.06,0.02,-0.09,0.02,0.09,0,0,-0.18,-0.02,0.03,0.05,0,-0.03,0.06,0.07,0.05,0.17,0.26,0.18,-0.07,0.02,0.02,0.02,-0.12,0.09,0.1,0.33,0.1,0.1,0.05,-0.14,0.13,0.13,-0.64,-0.15,0.36,0.37,0.28,-0.05,-2.36,0.4,0.22,0,-0.1,0.02,-0.04,0
0.06,0.04,-0.16,-0.09,0.18,-0.07,-0.01,-0.03,-0.01,0.05,0.06,-0.06,-0.01,-0.01,0.03,0.08,-0.11,0,0.06,-0.02,0.07,-0.09,0.05,0.03,-0.04,-0.06,-0.06,0.02,0.02,-0.09,0,-0.08,0.01,0.03,-0.04,0.04,-0.01,-0.01,-0.21,0.04,-0.01,0.03,0.06,-0.01,0.09,0.04,0.06,0.06,0.05,0.26,0.21,0.28,0.06,0.12,0.04,-0.1,-0.08,0.35,0.39,0.3,0.07,0.04,-0.04,-0.04,0.2,0.19,-0.74,-0.42,0.28,0.4,0.35,0.3,0.22,0.29,0.32,0,0.01,0.01,-0.02,-0.02
-0.07,-0.04,-0.01,0.01,0.04,-0.06,-0.03,-0.02,0.01,-0.07,-0.06,-0.02,-0.04,0.01,0.05,-0.05,0.03,-0.02,-0.02,-0.1,0.04,0,-0.03,-0.03,-0.02,0.02,0.03,-0.04,0.03,0.04,-0.1,0.02,-0.11,0,0.03,-0.1,-0.01,-0.01,0.04,0,-0.03,0.03,0,-0.04,0,-0.06,0.03,0,0.05,0.06,0.19,-2.72,0.07,0.08,0.07,-0.23,-0.07,0.16,0.27,0.33,0.04,0.03,-0.03,0.04,0.12,0.13,-0.77,-0.18,0.31,0.27,0.26,0.32,0.21,-2.3,0.33,-0.04,-0.06,-0.16,0.04,0.13
0.13,-0.03,0.11,-0.01,0.08,0.03,-0.04,0,0.03,-0.14,0.06,-0.08,0.02,-0.02,0,-0.1,0.04,0.06,0,0.03,0.01,0.06,-0.03,-0.03,0.07,0.05,0.01,-0.07,-0.19,0.11,0,0.08,-0.01,-0.08,-0.08,0.05,0.03,0.04,0,-0.14,-0.05,0.01,0.01,0.02,0,-0.02,-0.15,0.07,-0.04,0.28,0.22,0.28,0.16,-0.12,0.01,0.01,-0.16,0.22,0.4,0.4,0.02,0.07,-0.02,-0.05,0.17,0.19,-0.68,-0.18,0.29,0.38,0.37,-1.9,0.36,0.23,0.28,0.03,0.02,-0.02,-0.01,-0.02
0.03,0,0.03,0.06,-0.09,-0.01,0,-0.03,-0.05,-0.03,0.16,-0.13,0.01,-0.02,0.04,0.03,0.01,-0.01,0,0.03,0.02,-0.01,0.02,-0.03,0,0.01,-0.05,-0.02,-0.02,-0.1,0.04,0.07,-0.07,0.02,-0.08,-0.08,-0.02,-0.14,0.03,0.02,-0.01,0.05,0,0,-0.05,-0.15,-0.05,0.02,-0.02,0.19,0.2,0.27,0.16,0.11,0.09,-0.05,-0.1,0.27,0.33,0.43,-0.04,0.05,0.04,-0.07,0.15,0.08,-0.72,-0.06,0.36,0.4,0.25,0.32,0.36,0.41,-2.49,-0.05,-0.05,0.05,0.03,-0.03
