0.22	0.03	0.29	0.3	0.1	0.25	0.26	0.08	0.26	0.1	0.19	0.29	0.22	0.14	0.2	0.23	0.11	0.2	0.17	0.3	0.25	0.24	0.19	0.16	0.07	-0.17	-0.06	-0.08	-0.03	-0.08	0.01	-0.04	-0.06	-0.12	-0.14	-0.03	0.01	-0.11	-0.16	0.02	-0.2	-0.07	-0.18	0	0.02	0.01	-0.03	-0.06
-0.09	0.05	0.19	0.28	0.2	-0.19	0.26	0.15	0.08	0.17	0.16	0.08	0.15	0.28	0.14	0.14	0.19	0.09	0.02	0.22	0.08	0.23	0.03	0.23	-0.33	-0.21	-0.06	0.04	0.01	-0.01	0.03	0	-0.07	-0.02	-0.02	-0.16	-0.06	0.01	-0.07	-0.08	-0.02	-0.08	-0.21	0.01	-0.16	0	-0.18	0.02
0.13	0.1	0.17	0.22	0.18	0.23	-0.08	0.14	0.13	0.19	0.16	0.11	0.19	0.26	0.21	0.09	0.13	0.22	0.13	0.15	0.25	0.23	0.19	0.15	-0.06	-0.1	-0.15	0.02	-0.02	0.01	-0.11	-0.04	-0.17	-0.02	-0.11	-0.1	0.01	0.02	0.03	-0.12	0.04	0.07	-0.08	-0.11	0	0.06	-0.02	-0.03
0.16	0.05	0.15	0.3	0.34	0.08	0.08	0.16	0.36	0.17	0.14	0.11	0.25	0.14	0.26	0.19	0.14	0.03	0.16	0.16	0.09	0.07	0.09	0.14	0.04	-0.14	-0.11	0.05	0.07	-0.05	-0.02	-0.04	0.18	-0.08	0.09	-0.08	0.11	-0.1	-0.03	0.05	-0.09	-0.18	-0.14	-0.06	-0.15	0.02	-0.13	-0.02
0.08	0.25	0.05	0.12	0.3	0.23	0.22	0.17	0.2	0.02	0.19	0.18	0.22	0.22	0.2	0.27	0.15	0.2	0.1	0.14	0.24	-0.26	-0.06	0.44	-0.04	-0.01	-0.22	-0.11	0.07	-0.13	-0.15	-0.06	-0.07	-0.08	0	-0.05	-0.12	-0.07	0.08	-0.09	-0.14	-0.05	-0.11	-0.08	-0.06	-0.06	-0.24	0.11
-0.24	-0.24	-0.05	-0.11	0	-0.17	-0.08	-0.13	-0.21	-0.15	0.02	-0.05	0	-0.03	-0.04	-0.01	-0.13	-0.07	-0.06	-0.01	0.18	-0.13	-0.01	-0.18	-0.05	-0.05	0.13	0.03	0.17	0.02	0.16	0.1	-0.06	0.04	0.19	0.19	0.17	0.19	0.09	0.18	0.06	0.11	-0.01	0.04	0.34	0.14	0.06	-0.03
-0.26	-0.08	0	-0.05	0.05	-0.06	-0.01	-0.07	0.03	-0.02	-0.03	-0.02	-0.02	-0.02	0	-0.15	0	-0.17	0.01	-0.03	0.06	0.02	-0.04	-0.05	-0.09	0.13	0.18	0.12	0.2	0.08	0.18	0.13	0.24	0.15	0.18	0.2	0.14	0.14	0.17	0.09	0.19	-0.03	0.14	0.16	0.23	0.22	0.18	0.16
-0.2	-0.13	-0.1	-0.05	0	-0.1	-0.11	-0.09	-0.07	-0.17	0.03	-0.11	-0.05	-0.01	0	-0.14	-0.04	-0.16	0.01	-0.06	-0.03	0.14	-0.02	-0.06	-0.01	0.05	0.07	0.14	0.15	0.11	0.1	0.12	0.11	0.04	0.16	0.02	0.09	0.21	0.2	0.07	0.2	0.02	0.16	0.13	0.15	0.3	0.22	0.1
-0.16	-0.08	-0.3	-0.08	-0.13	-0.13	-0.1	-0.17	-0.22	-0.17	0	-0.08	-0.16	-0.18	-0.15	0.01	-0.09	-0.11	-0.04	-0.02	-0.21	-0.03	-0.13	-0.06	-0.02	0.07	-0.08	0.08	0.03	0.04	0.09	0	-0.07	0.06	0.21	0.1	0	0.04	-0.02	0.23	0.13	0.09	0.11	0.17	-0.02	0.14	0.08	0.12
-0.12	0.19	0.11	0.15	-0.06	0.14	0.19	0.07	0.04	-0.02	0.11	0.04	0.11	0.07	0.06	0.12	0.09	0.14	0.13	0.16	-0.13	0.22	0.08	0.04	-0.08	0.04	0.01	0.11	-0.09	0.22	0.08	0.09	0.12	-0.05	-0.02	0.06	0	-0.04	0.09	0.1	0.14	0.16	0.11	0.06	-0.09	0.1	0.02	0.17
